Handler,Title,Description,Details,Category,Collection,Brand,Published,Product Series,Colour,Colour(Tag),SEO Title,SEO Description,SEO Keywords,Image URL,Shippable,Track Inventory,Variant SKU,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Option 3 Name,Option 3 Value,Option 4 Name,Option 4 Value,Option 5 Name,Option 5 Value,Cost Price,List Price,Sell Price,Weight,Warehouse Quantity,Warehouse Rack,Option type
TG-FRAME-001,Navy Blue Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes, TG-FRAME-001,,,,,,,,,,,,,55,0,100,,Batik Frame
TG-FRAME-004,Bright Blue Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes, TG-FRAME-004,,,,,,,,,,,,,55,0,100,,Batik Frame
TG-FRAME-003,Yellow Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes, TG-FRAME-003,,,,,,,,,,,,,55,0,100,,Batik Frame
TG-FRAME-002,Red Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes, TG-FRAME-002,,,,,,,,,,,,,55,0,100,,Batik Frame
TG-FRAME-005,Green Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes,TG-FRAME-005,,,,,,,,,,,,,55,0,100,,Batik Frame
TG-FRAME-006,Black Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes,TG-FRAME-006,,,,,,,,,,,,,55,0,100,,Batik Frame
TG-APRON-010,Batik Print Apron,,,Lifestyle > Apron,,,Yes,,,,,,,,Yes,Yes,TG-APRON-010,,,,,,,,,,,,,29,0,100,,Apron Colors
TG-DRAWSTRING-001,Batik Drawstring Bag,"<p>Dimensions: 180mm(L) x 135mm(W)</p><p>(Due to the product is handmade, size may vary slightly.)<br></p>",,Fashion > Pouch/Purse,,,Yes,,,,,,,,Yes,Yes,TG-DRAWSTRING-001,,,,,,,,,,,,,15,0,100,,Batik Prints
TG-HANDKERCHIEF-001,Batik Handkerchief,<p>Dimensions: 500mm(L) x 500mm(W)<br></p>,,Accessories > Handkerchief,,,Yes,,,,,,,,Yes,Yes,TG-HANDKERCHIEF-001,,,,,,,,,,,,,9,0,100,,Batik Prints
